timestamp (utc),transfer_id,txid,asset_id,template,rarity,mint,count_common,count_rare,count_secret,count_unique
33:47.5,18469593093,de9565d12fe3338f3acf010b98e643171d92f66ceadfed205b4205c431800cd8,1099564097676,278949,common,508,166,80,9,1
7/09/2021 7:33,18469597188,6dfb9416329322429b04b3f3846e3948ad3cdfa2bbcf3e22671b41f305352656,1099564097029,278950,rare,43,166,81,9,1
33:52.5,18469601482,c873edab25dee7fed545a4d4ff9266aac3a073793bf087010d4d7b23c53596e1,1099564098135,278949,common,962,167,81,9,1
7/09/2021 7:33,18469602275,2fd9998f80d5c316695fa31eb82222ebc8702512fa860b51ad42e5e9d6f58367,1099564097719,278949,common,551,168,81,9,1
7/09/2021 7:33,18469605692,a8909efc8477a685f573a82573e5503bac6fa037122b1cbc2774256f2edfb586,1099564097602,278949,common,471,169,81,9,1
33:55.5,18469606717,4d34edffe93d951510bc07a76dd75d0caac6e33403819b6ec8daf86cebedb91f,1099564098103,278949,common,930,170,81,9,1
7/09/2021 7:33,18469608709,5727280087395c5c8d46e41ef6344681a186bab7abc25d6e28bf0d38cd6b61d8,1099564097802,278949,common,634,171,81,9,1
7/09/2021 7:33,18469610332,2b087bb2ccad1c7257d9d17e373e7020ccef90788ef5f8d102bcd329d1597732,1099564097051,278950,rare,65,171,82,9,1
34:00.5,18469615222,2f33a78b6c680a670d90097ee1dfcc510699474cfec14b8385beea54263ce28e,1099564097013,278950,rare,27,171,83,9,1
7/09/2021 7:34,18469618284,f63f6b53b92c37e6058c1988fa1db82c26e00e785f86c99b5383cbe398504f6b,1099564097553,278949,common,422,172,83,9,1
34:02.5,18469619260,bea054ac280abd4f902dea4aabd50cf2d7b7b25c322c340fcd49bc4f17fb4af3,1099564097045,278950,rare,59,172,84,9,1
34:03.5,18469620633,ebc2d5c2e0c3372927d7b8bfed96bd306b8b414c0ec4dfc382024200ed5453ee,1099564097005,278950,rare,19,172,85,9,1
34:04.5,18469622709,456be4998ae467a3d31b9253f348096c5d61d0774e4a9d179950e5f3a037c601,1099564098144,278949,common,971,173,85,9,1
7/09/2021 7:34,18469623670,e4b0a591bfd0b1f10fcf10d890befa5f70920097e30e4a5a5c276f17265a7809,1099564097146,278949,common,22,174,85,9,1
34:07.5,18469628800,88783880ccdaa26c70614cc001be8fd990fb321f07d6924c71d98b37bd4a36fe,1099564097037,278950,rare,51,174,86,9,1
34:09.5,18469632572,41878e281feb31f7986a3e6b8705b1bbddfa5773a1ca46067d78f068c88312ca,1099564097952,278949,common,781,175,86,9,1
